name,image,height,width,boxes,relative_boxes,annotations,anno_type,relative_annotations,iou_score,max_iou_score,num_of_annotations,avg_score
00132.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00132.jpg,626,899,"[[694.3363647460938, 20.57217788696289, 815.4185180664062, 294.5645751953125], [331.1145324707031, 0.0, 420.743408203125, 127.10025024414062], [468.4792175292969, 0.20608626306056976, 576.0933837890625, 185.211669921875], [560.41748046875, 9.623018264770508, 620.6154174804688, 148.21578979492188], [286.6802673339844, 0.0, 342.3055114746094, 119.49319458007812], [255.053955078125, 46.01974105834961, 340.0918273925781, 205.05120849609375], [593.5406494140625, 25.3983154296875, 649.0776977539062, 133.88963317871094], [621.6171264648438, 0.0, 693.5696411132812, 119.46430206298828], [482.73486328125, 158.8384552001953, 825.205078125, 607.0639038085938], [72.2627182006836, 0.10869094729423523, 214.59979248046875, 208.761962890625], [694.4722290039062, 19.216350555419922, 817.4951782226562, 206.0673828125], [0.0, 0.46997958421707153, 59.06614685058594, 329.3924255371094]]","[[0.7723430086163445, 0.03286290397278417, 0.9070283849459468, 0.4705504396091254], [0.3683142741609601, 0.0, 0.4680126898811179, 0.2030355435209914], [0.5211114766733002, 0.00032921128284436066, 0.6408157772959538, 0.2958652874151358], [0.6233787324457731, 0.015372233649793144, 0.6903397302341143, 0.23676643737207967], [0.3188879503158892, 0.0, 0.3807625266680861, 0.19088369741226538], [0.2837085151035873, 0.07351396335199618, 0.3783001417047588, 0.32755784104807306], [0.6602231917842742, 0.040572388865315494, 0.7219996637974485, 0.21388120316088008], [0.6914539782701266, 0.0, 0.7714901458434719, 0.19083754323161067], [0.5369687022038376, 0.2537355514380117, 0.9179144361790879, 0.9697506450616513], [0.0803812215802932, 0.00017362771133264414, 0.23870944658561596, 0.3334855637230431], [0.7724941368230326, 0.030697045615686775, 0.9093383517493395, 0.3291811227036741], [0.0, 0.0007507661089729578, 0.06570205433880527, 0.5261859832861172]]","[['471', '155', '874', '626']]",<class 'list'>,"[[0.5239154616240267, 0.2476038338658147, 0.9721913236929922, 1.0]]","[[0.49886806790334776, 0.30484900112979546, 0.4155076046283893, 0.3788579566571416, 0.26993059043446743, 0.30880856340933927, 0.372028493690511, 0.36313392119401466, 0.9337145562989777, 0.23476663272687773, 0.4415752225262489, 0.19957932937271333]]",[0.9337145562989777],1,0.9337145562989777
00046.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00046.jpg,358,636,"[[481.9380798339844, 95.79169464111328, 512.46142578125, 178.13580322265625], [234.39427185058594, 66.74476623535156, 298.2685546875, 258.7455749511719], [287.4444580078125, 93.29290008544922, 326.2243347167969, 228.39096069335938], [518.7625122070312, 115.92386627197266, 636.0, 159.23902893066406], [396.701416015625, 103.16090393066406, 416.6848449707031, 149.62841796875], [79.58301544189453, 104.92222595214844, 219.07383728027344, 273.9193420410156], [401.7322082519531, 104.82013702392578, 417.7539978027344, 149.1122283935547], [572.7457885742188, 117.09351348876953, 636.0, 173.87554931640625], [322.09063720703125, 87.76351165771484, 566.0237426757812, 326.03021240234375], [315.1722412109375, 112.69420623779297, 333.3239440917969, 147.24041748046875]]","[[0.7577642764685288, 0.26757456603662927, 0.8057569587755503, 0.49758604252138616], [0.3685444525952609, 0.1864378945121552, 0.4689757149174528, 0.7227530026569047], [0.45195669498083724, 0.26059469297611515, 0.5129313438943347, 0.6379635773557525], [0.815664327369546, 0.32380968232394597, 1.0, 0.4448017567895644], [0.6237443648044418, 0.2881589495269946, 0.6551648505828666, 0.4179564747730447], [0.12513052742436248, 0.2930788434417554, 0.3444557189941406, 0.7651378269302113], [0.6316544154904923, 0.2927936788377815, 0.6568459084948653, 0.4165146044512701], [0.900543692726759, 0.3270768533205853, 1.0, 0.48568589194526884], [0.5064318195079107, 0.24514947390423142, 0.8899744381694674, 0.9106989173249825], [0.4955538383819772, 0.31478828558042726, 0.5240942517166618, 0.41128608234767805]]","[['1', '105', '224', '289'], ['313', '106', '574', '335']]",<class 'list'>,"[[0.0015723270440251573, 0.29329608938547486, 0.3522012578616352, 0.8072625698324022], [0.4921383647798742, 0.29608938547486036, 0.9025157232704403, 0.9357541899441341]]","[[0.2734458334090096, 0.6036501500153406, 0.5273189372055349, 0.21705416078873174, 0.3426694235212823, 0.8775504552371769, 0.33898639841029077, 0.1872016337142898, 0.4172669216228747, 0.4205961510772742], [0.5375443477857901, 0.5340481153809514, 0.5697608986029152, 0.5030717296217156, 0.49860122777411375, 0.43850562814507255, 0.4959791354862525, 0.4786219526101645, 0.9374145723229371, 0.4876842409466838]]","[0.8775504552371769, 0.9374145723229371]",2,0.9074825137800571
00052.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00052.jpg,300,450,"[[131.10198974609375, 38.18416976928711, 304.7264099121094, 216.8274383544922], [130.66778564453125, 37.7232666015625, 305.2442626953125, 216.02622985839844]]","[[0.2913377549913194, 0.1272805658976237, 0.6771697998046875, 0.7227581278483073], [0.2903728569878472, 0.12574422200520832, 0.6783205837673612, 0.7200874328613281]]","[['124', '38', '306', '221']]",<class 'list'>,"[[0.27555555555555555, 0.12666666666666668, 0.68, 0.7366666666666667]]","[[0.9778468919130663, 0.9775237251271642]]",[0.9778468919130663],1,0.9778468919130663
00085.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00085.jpg,600,800,"[[532.3133544921875, 180.12916564941406, 758.5184936523438, 565.6555786132812], [27.703018188476562, 139.39041137695312, 497.080078125, 592.8558349609375], [287.4751281738281, 9.382743835449219, 514.2496948242188, 408.0437316894531]]","[[0.6653916931152344, 0.30021527608235676, 0.9481481170654297, 0.9427592976888021], [0.034628772735595705, 0.23231735229492187, 0.62135009765625, 0.9880930582682291], [0.3593439102172852, 0.015637906392415364, 0.6428121185302734, 0.6800728861490886]]","[['524', '175', '756', '572'], ['179', '8', '518', '504'], ['18', '138', '719', '583']]",<class 'list'>,"[[0.655, 0.2916666666666667, 0.945, 0.9533333333333334], [0.22375, 0.013333333333333334, 0.6475, 0.84], [0.0225, 0.23, 0.89875, 0.9716666666666667]]","[[0.9781693630205198, 0.48311811035350627, 0.471573588090757], [0.47324419965328274, 0.7156303180336666, 0.8214079636978634], [0.6049212321152256, 0.8378794067793142, 0.525306163612808]]","[0.9781693630205198, 0.8214079636978634, 0.8378794067793142]",3,0.8791522444992325
00091.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00091.jpg,683,1024,[],[],"[['383', '160', '718', '643']]",<class 'list'>,"[[0.3740234375, 0.2342606149341142, 0.701171875, 0.9414348462664714]]",[[]],[0],1,0.0
00090.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00090.jpg,393,590,"[[300.5467834472656, 47.42107009887695, 545.5609130859375, 214.45034790039062], [165.7068634033203, 173.59059143066406, 454.66436767578125, 374.8787536621094], [63.91775131225586, 85.61270904541016, 253.10794067382812, 284.53955078125]]","[[0.5094013278767214, 0.12066430050604823, 0.9246795137049788, 0.5456751854971772], [0.28085909051410224, 0.4417063395182292, 0.7706175723318326, 0.9538899584277593], [0.10833517171568789, 0.21784404337254493, 0.42899650961665786, 0.7240192131838422]]","[['152', '163', '584', '370'], ['291', '39', '590', '219'], ['48', '81', '268', '289']]",<class 'list'>,"[[0.2576271186440678, 0.41475826972010177, 0.9898305084745763, 0.9414758269720102], [0.49322033898305084, 0.09923664122137404, 1.0, 0.5572519083969466], [0.08135593220338982, 0.20610687022900764, 0.4542372881355932, 0.7353689567430025]]","[[0.5229210518874018, 0.8389890015196788, 0.49470210415563726], [0.9180116097574289, 0.4711191891335816, 0.42738744782657956], [0.444000531386504, 0.535560939313154, 0.9474406604226424]]","[0.8389890015196788, 0.9180116097574289, 0.9474406604226424]",3,0.9014804238999167
00084.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00084.jpg,425,482,"[[17.47443962097168, 136.417236328125, 346.7816467285156, 382.3524475097656], [5.950762748718262, 144.85604858398438, 421.98992919921875, 386.7931213378906]]","[[0.03625402410989975, 0.3209817325367647, 0.7194639973620656, 0.8996528176700368], [0.012345980806469422, 0.3408377613740809, 0.8754977784216157, 0.9101014619715073]]","[['9', '129', '476', '388']]",<class 'list'>,"[[0.01867219917012448, 0.3035294117647059, 0.9875518672199171, 0.9129411764705883]]","[[0.8385782700378468, 0.9166893725660048]]",[0.9166893725660048],1,0.9166893725660048
00053.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00053.jpg,655,1000,"[[123.46394348144531, 265.93060302734375, 235.65121459960938, 446.69061279296875], [662.7593994140625, 177.1655731201172, 783.5048828125, 557.6201782226562], [271.6073913574219, 172.755615234375, 481.8208312988281, 427.0632019042969]]","[[0.1234639434814453, 0.4060009206524332, 0.2356512145996094, 0.6819704012106393], [0.6627593994140625, 0.2704817910230797, 0.7835048828125, 0.8513285163704676], [0.2716073913574219, 0.26374903089217555, 0.48182083129882813, 0.6520048884035067]]","[['277', '157', '470', '438'], ['653', '157', '809', '565'], ['124', '268', '274', '446']]",<class 'list'>,"[[0.277, 0.23969465648854962, 0.47, 0.6687022900763359], [0.653, 0.23969465648854962, 0.809, 0.8625954198473282], [0.124, 0.40916030534351144, 0.274, 0.6809160305343511]]","[[0.6326274565559711, 0.4807414146899694, 0.9580532124291716], [0.29134773652317847, 0.9443803949232791, 0.47831819619911903], [0.9631180777005036, 0.3163944914742509, 0.6568045770649895]]","[0.9580532124291716, 0.9443803949232791, 0.9631180777005036]",3,0.9551838950176514
00047.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00047.jpg,364,494,"[[9.124134063720703, 8.207897186279297, 105.85286712646484, 362.3473205566406], [218.03726196289062, 210.73828125, 341.3712463378906, 276.917236328125]]","[[0.01846990701158037, 0.022549168094173892, 0.21427705896045515, 0.9954596718589028], [0.44137097563338185, 0.5789513221153846, 0.6910349116151632, 0.7607616382640797]]","[['171', '210', '339', '281']]",<class 'list'>,"[[0.34615384615384615, 0.5769230769230769, 0.6862348178137652, 0.771978021978022]]","[[0.35489948748892836, 0.9154087438575474]]",[0.9154087438575474],1,0.9154087438575474
00125.jpg,/Users/hila.katz/PycharmProjects/YOLOv8-image-detection-project/Kangaroos/00125.jpg,320,427,"[[126.32151794433594, 10.360357284545898, 426.29876708984375, 294.5497741699219]]","[[0.2958349366377891, 0.03237611651420593, 0.9983577683602898, 0.9204680442810058]]","[['65', '170', '302', '278']]",<class 'list'>,"[[0.1522248243559719, 0.53125, 0.7072599531615925, 0.86875]]",[[0.5541542857981953]],[0.5541542857981953],1,0.5541542857981953
