,name,image,height,width,boxes,relative_boxes,annotations,anno_type,relative_annotations,iou_score,max_iou_score,num_of_annotations,avg_score
0,7a7f3c39ca06b707.jpg,/Zebra/7a7f3c39ca06b707.jpg,768,1024,"[[0.0, 20.878711700439453, 781.92529296875, 720.6187744140625], [466.01824951171875, 475.5892639160156, 708.0909423828125, 737.4933471679688]]","[[0.0, 0.027185822526613872, 0.7635989189147949, 0.9383056958516439], [0.45509594678878784, 0.619256854057312, 0.6914950609207153, 0.960277795791626]]","[[0.0, 6.399744, 812.8, 732.800256]]",<class 'list'>,"[[0.0, 0.008333, 0.79375, 0.954167]]","[[0.9656506804482964, 0.47184997413177265]]",[0.9656506804482964],1,0.9656506804482964
1,78fcbcce09ee7cee.jpg,/Zebra/78fcbcce09ee7cee.jpg,706,1024,"[[22.322851181030273, 0.0, 1010.4990234375, 702.9578247070312]]","[[0.021799659356474876, 0.0, 0.9868154525756836, 0.9956909698399876]]","[[0.0, 0.0, 991.2944640000001, 705.221282]]",<class 'list'>,"[[0.0, 0.0, 0.9680610000000001, 0.9988969999999999]]",[[0.9780320309751778]],[0.9780320309751778],1,0.9780320309751778
2,6e73686cf2c398e2.jpg,/Zebra/6e73686cf2c398e2.jpg,683,1024,"[[636.9844360351562, 0.0, 1022.9508056640625, 675.6087036132812], [0.0, 4.371899604797363, 677.4617309570312, 625.8779296875]]","[[0.6220551133155823, 0.0, 0.998975396156311, 0.9891781897705435], [0.0, 0.006401024311562757, 0.6615837216377258, 0.9163659292642753]]","[[0.0, 0.0, 692.48, 622.132406], [629.76, 0.0, 1023.36, 673.3895070000001]]",<class 'list'>,"[[0.0, 0.0, 0.67625, 0.910882], [0.615, 0.0, 0.999375, 0.9859290000000002]]","[[0.5128920967727575, 0.9851276517990141], [0.9929991996538982, 0.5094265274493638]]","[0.9851276517990141, 0.9929991996538982]",2,0.989063425726456
3,54f23021fbb08442.jpg,/Zebra/54f23021fbb08442.jpg,683,1024,"[[166.22021484375, 224.36526489257812, 541.1322021484375, 590.3568115234375], [211.69784545898438, 153.85263061523438, 711.5618286132812, 529.3546752929688]]","[[0.1623244285583496, 0.32849965577244233, 0.5284494161605835, 0.8643584356126464], [0.20673617720603943, 0.22526007410722457, 0.6948845982551575, 0.77504344845237]]","[[90.999808, 150.999689, 711.999488, 589.999988]]",<class 'list'>,"[[0.088867, 0.22108299999999997, 0.695312, 0.863836]]","[[0.7945814042092582, 0.8739349651935001]]",[0.8739349651935001],1,0.8739349651935001
4,40e940f877350614.jpg,/Zebra/40e940f877350614.jpg,683,1024,"[[419.15155029296875, 181.6819305419922, 554.5704956054688, 373.07635498046875], [539.4358520507812, 176.06753540039062, 618.00048828125, 366.01031494140625], [1.1166503429412842, 241.9929656982422, 303.8482971191406, 526.8458862304688], [642.9351806640625, 99.14814758300781, 792.6588134765625, 354.3794860839844], [614.1361083984375, 64.1080551147461, 1017.0069580078125, 271.3189392089844], [378.42340087890625, 173.65625, 437.64202880859375, 330.4268493652344], [982.1749267578125, 41.34770584106445, 1024.0, 365.34149169921875], [361.84722900390625, 173.5948486328125, 430.607177734375, 332.0957946777344], [416.4239196777344, 62.816650390625, 1017.8015747070312, 272.655029296875], [651.1019287109375, 63.68159103393555, 1017.5457153320312, 271.10308837890625]]","[[0.4093276858329773, 0.2660057548199007, 0.5415727496147156, 0.5462318520943905], [0.5267928242683411, 0.25778555695518396, 0.6035161018371582, 0.5358862590650165], [0.0010904788505285978, 0.35430888096375135, 0.29672685265541077, 0.7713702580241124], [0.6278663873672485, 0.14516566263983574, 0.7740808725357056, 0.5188572270629347], [0.5997422933578491, 0.09386245258381566, 0.9931708574295044, 0.3972458846398014], [0.3695541024208069, 0.25425512445095166, 0.42738479375839233, 0.4837874807690108], [0.9591552019119263, 0.060538368727766405, 1.0, 0.5349070156650347], [0.3533664345741272, 0.25416522493823207, 0.4205148220062256, 0.4862310317389962], [0.4066639840602875, 0.09197166967880674, 0.9939468502998352, 0.3992020926747804], [0.6358417272567749, 0.09323805422245322, 0.9936969876289368, 0.39692985121362556]]","[[0.0, 242.189751, 293.76, 490.78604199999995]]",<class 'list'>,"[[0.0, 0.354597, 0.286875, 0.7185739999999999]]","[[0.48433368874696936, 0.4019951195109703, 0.9544468663953635, 0.2994110764645212, 0.2509414307686436, 0.5127681183240632, 0.13324314399620946, 0.5246080548740845, 0.31588980304328096, 0.23836226580728412]]",[0.9544468663953635],1,0.9544468663953636
5,400264e117b62e6c.jpg,/Zebra/400264e117b62e6c.jpg,682,1024,"[[203.9548797607422, 26.951635360717773, 791.5642700195312, 554.3922729492188]]","[[0.1991746872663498, 0.03951852692187357, 0.7730119824409485, 0.8128918958199688]]","[[213.76, 20.472958000000002, 792.32, 551.48566]]",<class 'list'>,"[[0.20875, 0.030019000000000004, 0.77375, 0.8086300000000001]]",[[0.9858150126508683]],[0.9858150126508683],1,0.9858150126508683
6,ba53de1ddba7dd0e.jpg,/Zebra/ba53de1ddba7dd0e.jpg,1024,768,"[[5.792773246765137, 2.0404295921325684, 608.66259765625, 1024.0]]","[[0.007542673498392105, 0.0019926070235669613, 0.7925294240315756, 1.0]]","[[0.0, 0.0, 767.360256, 1023.36]]",<class 'list'>,"[[0.0, 0.0, 0.999167, 0.999375]]",[[0.8917265231198628]],[0.8917265231198628],1,0.8917265231198628
7,12a4e656577343da.jpg,/Zebra/12a4e656577343da.jpg,682,1024,"[[117.78779602050781, 63.849388122558594, 835.2440185546875, 658.8773193359375]]","[[0.11502714455127716, 0.09362080369876627, 0.815667986869812, 0.966095776152401]]","[[108.8, 58.859328, 827.52, 667.924884]]",<class 'list'>,"[[0.10625, 0.08630399999999999, 0.808125, 0.9793620000000001]]",[[0.9797307264181461]],[0.9797307264181461],1,0.979730726418146
8,2b6cc1860f17699a.jpg,/Zebra/2b6cc1860f17699a.jpg,681,1024,"[[798.326416015625, 125.605712890625, 1024.0, 473.9622497558594], [0.0, 154.62411499023438, 387.2730407714844, 526.6009521484375], [683.4052734375, 198.32339477539062, 868.0439453125, 475.1536560058594], [683.4866333007812, 114.7188949584961, 1002.56787109375, 475.6321716308594], [270.14593505859375, 222.56161499023438, 512.5892944335938, 675.802734375], [0.0, 176.4339599609375, 154.78005981445312, 533.5172119140625], [657.52392578125, 52.273048400878906, 708.9818115234375, 159.7375946044922], [799.2850341796875, 28.82867431640625, 874.6736450195312, 90.9024887084961], [535.9872436523438, 61.6162109375, 639.0189819335938, 175.3633270263672], [798.9496459960938, 27.980615615844727, 904.619140625, 92.60957336425781], [426.15411376953125, 40.13261795043945, 542.0931396484375, 158.6471710205078], [269.10430908203125, 223.2601318359375, 432.56671142578125, 676.5279541015625], [711.7938232421875, 43.327392578125, 763.2268676757812, 153.31820678710938]]","[[0.7796156406402588, 0.18444304389225405, 1.0, 0.6959798087457553], [0.0, 0.22705450071987426, 0.3781963288784027, 0.7732759943442548], [0.6673879623413086, 0.29122378087428874, 0.8476991653442383, 0.6977293039733617], [0.6674674153327942, 0.16845652710498693, 0.9790701866149902, 0.6984319700893676], [0.26381438970565796, 0.3268158810429286, 0.5005754828453064, 0.9923681855726872], [0.0, 0.25908070478845446, 0.15115240216255188, 0.7834320292423825], [0.642113208770752, 0.07675924875312615, 0.6923650503158569, 0.23456328135755095], [0.7805517911911011, 0.04233285509017071, 0.854173481464386, 0.13348383070263745], [0.5234250426292419, 0.09047901752936857, 0.6240419745445251, 0.2575085565732264], [0.7802242636680603, 0.0410875412861156, 0.8834171295166016, 0.13599056294310985], [0.41616612672805786, 0.05893189126349406, 0.5293878316879272, 0.23296207198312455], [0.26279717683792114, 0.32784160328331496, 0.4224284291267395, 0.9934331190918686], [0.6951111555099487, 0.06362319027624816, 0.7453387379646301, 0.22513686752879497]]","[[0.0, 155.245527, 516.799488, 680.1998249999999], [419.2, 39.211299, 627.9997440000001, 175.25126400000002], [652.8, 54.415986, 763.200512, 157.646052], [681.6, 133.63944, 1023.2002560000001, 474.5391870000001], [766.400512, 28.008167999999998, 952.000512, 94.42745999999998]]",<class 'list'>,"[[0.0, 0.227967, 0.504687, 0.9988249999999999], [0.409375, 0.057579, 0.6132810000000001, 0.257344], [0.6375, 0.07990599999999999, 0.745313, 0.231492], [0.665625, 0.19624, 0.9992190000000001, 0.6968270000000001], [0.748438, 0.041128, 0.929688, 0.13865999999999998]]","[[0.3089889530406764, 0.798898469671089, 0.3742143089204523, 0.3578571863967537, 0.7730617465232025, 0.6585488412827416, 0.2882385227504028, 0.20617725934122264, 0.3437639737072748, 0.20463498462768462, 0.3801653810300344, 0.7248672934987199, 0.26234764110265624], [0.37352083231933, 0.3873013467970167, 0.41715343011435596, 0.42535422790584493, 0.4079681717924084, 0.3011739687772232, 0.7320607598783276, 0.5209088890944542, 0.8727459316979144, 0.5122128368111292, 0.9048407676858541, 0.3868292906051987, 0.6674632237135641], [0.47937657974091097, 0.27940347949607364, 0.5272483079576701, 0.5362484657381711, 0.3056188675045122, 0.19734381965532075, 0.9432124390644272, 0.710420252526199, 0.7846831659301633, 0.6959876404252501, 0.6602451996095796, 0.28395739874222664, 0.9302726807680108], [0.9069517895085129, 0.33950330518809957, 0.828597073750614, 0.9649237528662777, 0.3921233253327464, 0.22828484760109993, 0.4956079232392556, 0.4644755322088609, 0.4483768831557835, 0.4772400239624299, 0.3711615210680731, 0.35767981891898043, 0.5048354487245252], [0.536977139965385, 0.2011979169831636, 0.46002194802588947, 0.5312867207672537, 0.2223882328413457, 0.131338191966419, 0.6637735107953858, 0.9036018453720133, 0.5518489596029438, 0.9316163165508357, 0.4790435708016613, 0.20380178084326633, 0.7418654068308274]]","[0.798898469671089, 0.9048407676858541, 0.9432124390644272, 0.9649237528662777, 0.9316163165508357]",5,0.9086983491676964
9,672dfc89c90037d2.jpg,/Zebra/672dfc89c90037d2.jpg,768,1024,"[[38.695411682128906, 198.83749389648438, 608.1364135742188, 761.736328125], [37.902000427246094, 200.0839080810547, 372.9141540527344, 762.5828857421875]]","[[0.03778848797082901, 0.2589029868443807, 0.593883216381073, 0.9918441772460938], [0.03701367229223251, 0.26052592198054, 0.3641739785671234, 0.99294646581014]]","[[30.72, 197.76, 609.92, 767.360256]]",<class 'list'>,"[[0.03, 0.2575, 0.595625, 0.999167]]","[[0.9889332643926885, 0.843186876363005]]",[0.9889332643926885],1,0.9889332643926884
